"id","ig","name","er","post","followers"
"60","airputihaja","Roy Lambok","0.004","808625","24000"
"61","galanghadid","Galang Hadid","0.014","30125","3300"
"62","ayu.rahma15","Ayu Rahmawati","0.047","59125","2700"
"63","momibrarbi","Izzaty choirina","0.014","9500","19000"
"64","wulanoctarya","WULAN OKTARIA","0.023","26625","13000"
"65","cellaiskandar","Marsella","0.012","43750","13000"
"66","fiiskkaa","Fiska","0.023","155750","52000"
"67","sarah_novika","Sarah Novika","0.012","158875","64000"
"68","sisca_zhang18","Fransisca chandra","0.016","13875","37000"
"69","perdiansyah_r","Perdiansyah Ramadan","0.047","62375","11000"
"70","akrobinofficial","Nada Akrobin","0.028","112625","7500"
"71","indrijayanti822","Indri Jayanti","0.044","6375","13000"
"72","b.eerly","Rahmadilla Putri","0.134","243375","14000"
"73","afthony_77","Afthony_77","0.011","25875","2700"
"74","wulan_puspa_indah","Wulan Chua","0.011","49500","21000"
"75","albelajar","Mutiara Anggraini","0.014","26875","62000"
"76","avania7","Aurellia Vania","0.1","140375","2300"
"77","ersyvanp","Ersyva Nadia","0.008","36250","10000"
"78","irawati_hulwah","Hulwah irawati","0.043","61500","19000"
"79","manadoquotes","Manado Quotes","0.019","366125","13000"
"80","siskaanh","Siska Nur","0.03","289000","51000"
"81","hikmahfr","Hikmah Fajriah","0.004","64125","18000"
"82","unchdimz","Dimaz D知agan","0.012","84000","21000"
"83","imaniashinta","Imania Shinta","0.004","17500","6200"
"84","ekadeandra26","Eka Deandra","0.015","81375","13000"
"85","oiiyups","mavita erlinda","0.092","143500","19000"
"86","riniinasir","Rini Nasir","0.015","123375","12000"
"87","asya.vareen","Ratih yuni","0.036","48125","53000"
"88","dinemachsar","Andiny Machsar","0.126","112125","15000"
"89","lithanurmuarani","Litha Nur","0.006","26000","109000"
"90","jastitahn","Jastitah Nurpadmi","0.032","42000","5100"
"91","deadec","Dea decenta","0.033","39125","2000"
"92","maulidads","Maulida Dwi","0.02","38000","16000"
"93","hufianafl","Hufiana Frida","0.041","80875","15000"
"94","gisantia","Gisantia Bestari","0.033","27375","2600"
"95","pricellia.g","Pricellia Georsya","0.111","157250","2400"
"96","nivisyeron","Nivi Syeron","0.044","66375","5900"
"97","ateutika","Yustika","0.007","41000","29000"
"98","nnaptrd","Nona Putridola","0.002","8625","5300"
"99","stephaprilia","Stephanie Aprilia","0.028","45500","39000"
"100","helloimakiko","Akiko nitta","0.099","109000","11000"
"101","iniynia","Nia","0.032","126375","11000"
"102","marissa_vmd","Marissa dorothea","0.046","128250","3300"
"103","mercyyylll","Putri Mercy","0.016","175000","10000"
"104","elenabintang","Elena Bintang","0.019","72000","24000"
"105","arinprastya","Sarini","0.001","25125","104000"
"106","lamtiarhema","Lamtiar Hema","0.064","53125","125000"
"107","putriwafda","PUTRI WAFDATUL","0.036","83250","3900"
"108","gabrieljuli","Gabriel juli","0.096","138500","1900"
"109","nuranisa_desy","Nuranisa desy","0.031","100750","5600"
"110","firman.ai","Firman Afatur Ikhsan","2","5000","10000"
"111","firmann.ai","Firman Ikhsan",NULL,"5000","100"
"115","newigtest","Nama Baru","0.002","150","120000"
